Date,Stock,ClosePrice
8/21/2025,RELIANCE,1424.800049
8/22/2025,RELIANCE,1409.199951
8/25/2025,RELIANCE,1412.599976
8/26/2025,RELIANCE,1384.900024
8/28/2025,RELIANCE,1385.900024
8/29/2025,RELIANCE,1357.199951
9/1/2025,RELIANCE,1353.900024
9/2/2025,RELIANCE,1366.5
9/3/2025,RELIANCE,1372.599976
9/4/2025,RELIANCE,1359.300049
9/5/2025,RELIANCE,1375
9/8/2025,RELIANCE,1378.5
9/9/2025,RELIANCE,1376.199951
9/10/2025,RELIANCE,1377
9/11/2025,RELIANCE,1383.300049
9/12/2025,RELIANCE,1395
9/15/2025,RELIANCE,1399.300049
9/16/2025,RELIANCE,1405.300049
9/17/2025,RELIANCE,1413.800049
9/18/2025,RELIANCE,1415
9/19/2025,RELIANCE,1407.400024
9/22/2025,RELIANCE,1390.599976
9/23/2025,RELIANCE,1389.800049
9/24/2025,RELIANCE,1383
9/25/2025,RELIANCE,1372.400024
9/26/2025,RELIANCE,1377.599976
9/29/2025,RELIANCE,1372.800049
9/30/2025,RELIANCE,1364
10/1/2025,RELIANCE,1368.699951
10/3/2025,RELIANCE,1363.400024
10/6/2025,RELIANCE,1375
10/7/2025,RELIANCE,1384.800049
10/8/2025,RELIANCE,1367.400024
10/9/2025,RELIANCE,1377.800049
10/10/2025,RELIANCE,1381.699951
10/13/2025,RELIANCE,1375
10/14/2025,RELIANCE,1375.900024
10/15/2025,RELIANCE,1374.300049
10/16/2025,RELIANCE,1398.300049
10/17/2025,RELIANCE,1416.800049
10/20/2025,RELIANCE,1466.800049
10/21/2025,RELIANCE,1465.199951
10/23/2025,RELIANCE,1448.400024
10/24/2025,RELIANCE,1451.599976
10/27/2025,RELIANCE,1484.099976
10/28/2025,RELIANCE,1486.900024
10/29/2025,RELIANCE,1504.199951
10/30/2025,RELIANCE,1488.5
10/31/2025,RELIANCE,1486.400024
11/3/2025,RELIANCE,1484.699951
11/4/2025,RELIANCE,1473.099976
11/6/2025,RELIANCE,1496.099976
11/7/2025,RELIANCE,1478
11/10/2025,RELIANCE,1489.300049
11/11/2025,RELIANCE,1493.400024
11/12/2025,RELIANCE,1511.5
11/13/2025,RELIANCE,1510.900024
11/14/2025,RELIANCE,1518.900024
11/17/2025,RELIANCE,1518.300049
11/18/2025,RELIANCE,1519.400024
11/19/2025,RELIANCE,1518.900024
11/20/2025,RELIANCE,1549.099976
11/21/2025,RELIANCE,1546.599976
11/24/2025,RELIANCE,1535.900024
11/25/2025,RELIANCE,1539.699951
